WC,WPS,Sixltr,Dic,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,class
19,19,0,84.21,47.37,10.53,5.26,0,0,0,5.26,0,5.26,10.53,15.79,10.53,15.79,0,0,10.53,0,5.26,0,0,5.26,5.26,10.53,0,0,0,10.53,0,10.53,0,5.26,0,0,0,0,0,0,0,0,0,0,15.79,15.79,0,0,5.26,5.26,0,0,0,5.26,0,0,10.53,0,0,5.26,0,0,0,0,0,0,5.26,yes
27,27,3.7,92.59,55.56,37.04,37.04,11.11,0,25.93,0,0,0,0,22.22,11.11,11.11,3.7,3.7,7.41,0,7.41,0,0,0,11.11,25.93,0,0,0,18.52,3.7,14.81,0,11.11,0,11.11,0,3.7,7.41,0,0,0,0,0,0,0,0,0,14.81,0,0,7.41,7.41,3.7,0,0,3.7,0,0,3.7,0,0,0,3.7,0,0,0,yes
9,9,0,77.78,11.11,11.11,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,11.11,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,0,22.22,0,0,44.44,22.22,0,22.22,22.22,22.22,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
8,8,0,87.5,37.5,12.5,0,0,0,0,0,0,12.5,0,25,12.5,0,12.5,12.5,0,0,0,12.5,0,0,12.5,0,0,0,0,12.5,0,12.5,0,12.5,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,25,12.5,12.5,12.5,12.5,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,yes
12,12,8.33,75,33.33,0,0,0,0,0,0,0,0,0,16.67,8.33,0,8.33,8.33,8.33,16.67,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,25,0,0,16.67,0,0,0,8.33,8.33,8.33,0,8.33,0,0,0,0,0,0,16.67,8.33,8.33,0,0,0,0,8.33,0,8.33,8.33,0,0,0,yes
26,26,3.85,92.31,53.85,23.08,19.23,11.54,0,7.69,0,0,3.85,3.85,7.69,7.69,0,7.69,0,11.54,3.85,11.54,0,0,0,0,7.69,0,0,0,34.62,7.69,26.92,0,7.69,0,7.69,0,3.85,0,0,0,0,0,3.85,0,0,0,0,23.08,0,0,23.08,0,3.85,0,3.85,0,0,0,0,0,0,0,0,7.69,0,0,yes
21,21,9.52,85.71,47.62,23.81,19.05,4.76,0,14.29,0,0,4.76,4.76,14.29,4.76,4.76,4.76,4.76,0,9.52,4.76,0,0,0,0,28.57,0,4.76,0,9.52,4.76,4.76,0,4.76,0,19.05,0,4.76,4.76,0,0,0,9.52,0,4.76,0,4.76,0,0,0,0,0,0,4.76,0,4.76,0,0,4.76,4.76,0,0,0,0,4.76,0,0,yes
15,15,13.33,93.33,46.67,26.67,20,0,0,20,0,0,6.67,6.67,6.67,0,0,6.67,0,0,13.33,0,0,0,0,6.67,26.67,0,0,0,13.33,0,13.33,0,6.67,0,13.33,6.67,0,0,0,6.67,0,0,0,6.67,0,0,0,20,20,6.67,0,6.67,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,0,yes
13,13,7.69,84.62,38.46,15.38,15.38,7.69,0,7.69,0,0,0,7.69,7.69,7.69,0,0,0,0,15.38,0,0,0,0,15.38,7.69,0,0,0,15.38,0,15.38,0,7.69,0,7.69,0,0,0,7.69,0,0,0,0,0,0,0,0,15.38,7.69,0,7.69,7.69,15.38,0,7.69,7.69,0,0,0,0,7.69,0,0,0,0,0,yes
6,6,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,16.67,16.67,16.67,16.67,0,0,16.67,16.67,16.67,16.67,0,0,16.67,0,0,0,0,yes
5,5,20,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,60,20,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
25,25,4,100,52,20,20,12,0,4,0,4,0,4,20,16,0,8,4,4,4,8,0,0,0,4,12,0,0,4,12,4,8,0,8,0,36,4,0,8,0,8,0,8,8,4,0,0,4,12,8,8,0,12,0,0,0,8,0,0,0,0,0,0,4,0,0,8,yes
12,12,16.67,75,16.67,0,0,0,0,0,0,0,0,8.33,16.67,0,0,16.67,0,0,8.33,0,0,0,0,0,8.33,0,0,8.33,16.67,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,8.33,0,8.33,33.33,16.67,16.67,0,0,0,0,0,0,0,8.33,0,0,0,yes
2,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
